,Theme,Sub Theme,Feature Name,lat,lon
101,Leisure/Recreation,Informal Outdoor Facility ,Enterprize Park,-37.820210269629,144.959276859602
102,Community Use,Fire Station,Metropolitan Fire Brigade ,-37.8092318636838,144.975247619376
103,Place Of Assembly,Gallery/Museum,Koorie Heritage Trust Inc,-37.8133854259085,144.954027907736
104,Community Use,Public Buildings,Commonwealth Law Courts,-37.8123961677596,144.955823833257
105,Leisure/Recreation,Informal Outdoor Facility ,Macarthur Square,-37.7983318676737,144.971514146104
106,Leisure/Recreation,Major Sports & Recreation Facility,City Baths,-37.8071585350561,144.963189789721
107,Leisure/Recreation,Informal Outdoor Facility ,Westgate Park,-37.8314918578874,144.908824792698
108,Place Of Assembly,Gallery/Museum,Cooks' Cottage,-37.8144604899837,144.979471339826
109,Place Of Assembly,Gallery/Museum,Royal Exhibition Building,-37.80460262432,144.971521914952
110,Community Use,Public Buildings,Melbourne Childrens Court,-37.8125077646598,144.958298873269
111,Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,-37.8161760471742,144.947496254547
112,Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,-37.8216187583314,144.964622218598
113,Community Use,Public Buildings,County Court Melbourne,-37.8132011619962,144.957734246387
114,Leisure/Recreation,Informal Outdoor Facility ,Sandridge Rail Bridge,-37.8201763042794,144.96298113724
115,Leisure/Recreation,Informal Outdoor Facility ,Lincoln Square,-37.8027919689732,144.962760852233
116,Place Of Assembly,Gallery/Museum,The Museum Of Australian Chinese History,-37.8107686127655,144.96923385414
117,Place Of Assembly,Library,The Melbourne Athenaeum Library,-37.8148855756416,144.967291289941
118,Place of Worship,Church,Romanian Orthodox,-37.8052307297468,144.966986444597
119,Place of Worship,Church,Welsh Presbyterian Church,-37.8104478768313,144.959873260087
120,Place of Worship,Church,St Peter's Eastern Hill,-37.8097086714637,144.975259178609
121,Place of Worship,Church,Lutheran Trinity Church,-37.8109757054396,144.975729473552
122,Place of Worship,Church,St Johns Lutheran Church,-37.8209399677168,144.967121099857
123,Place of Worship,Church,St Michaels,-37.7940512679297,144.945399480629
124,Place of Worship,Church,Ukranian Catholic Cathedral,-37.7963084580345,144.944313454028
125,Place of Worship,Church,Collins Street Baptist Church,-37.8147011904647,144.968072486031
126,Place of Worship,Church,St Thomas Aquinas Church,-37.8353076902578,144.976809080472
127,Place of Worship,Church,The Parish of Christ Church South Yarra,-37.8386270533576,144.986009385387
128,Community Use,Police Station,Victoria Police,-37.8164849024046,144.966486801188
129,Community Use,Visitor Centre,Melbourne Visitor Booth,-37.8139525061193,144.964425882562
130,Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,-37.7857860016289,144.947580972027
131,Leisure/Recreation,Informal Outdoor Facility ,University Square,-37.800410711209,144.960398319302
132,Leisure/Recreation,Informal Outdoor Facility ,Powlett Reserve,-37.8116929882498,144.987275671763
133,Community Use,Cemetery,Melbourne General Cemetery,-37.7891890023616,144.965785979892
134,Retail,Retail,Queen Victoria Market,-37.8075002018073,144.957158515056
135,Place Of Assembly,Theatre Live,State Theatre,-37.8212806349773,144.968469643744
136,Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,-37.8352429531289,144.98114217385
137,Place Of Assembly,Theatre Live,Princess Theatre,-37.8107257091302,144.9723265962
138,Community Use,Public Buildings,State Library Victoria,-37.8099852201226,144.964330322397
139,Place Of Assembly,Theatre Live,Regent Theatre,-37.8160014744179,144.967916735261
140,Community Use,Public Buildings,Supreme Court,-37.8141494182814,144.957894024264
141,Leisure/Recreation,Informal Outdoor Facility ,Richmond Football Club,-37.8216740022008,144.988156318781
142,Leisure/Recreation,Outdoor Recreation Facility ,Melbourne Zoo,-37.7844449253712,144.951371205938
143,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,-37.8249040484653,144.952288281644
144,Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,-37.8292844929826,144.913415802464
145,Place Of Assembly,Theatre Live,Malthouse Theatre,-37.8271768001126,144.966936821789
146,Place Of Assembly,Casino,Crown Entertainment Complex,-37.8235761092516,144.957312880653
147,Place Of Assembly,Gallery/Museum,Thoroughbred Racing Gallery,-37.8188662730911,144.9839700954
148,Leisure/Recreation,Informal Outdoor Facility ,Docklands Park,-37.8209956785618,144.946781702342
149,Retail,Retail,Waterfront City,-37.815056661803,144.939136876334
150,Leisure/Recreation,Informal Outdoor Facility ,Point Park,-37.8233522700646,144.942102276731
151,Place Of Assembly,Gallery/Museum,Fox Classic Car Collection,-37.8213744301481,144.948496661709
152,Place Of Assembly,Cinema,IMAX Melbourne,-37.8034315561903,144.970639929886
153,Community Use,Public Buildings,Melbourne Theatre Company,-37.823930384816,144.968297429894
154,Leisure/Recreation,Informal Outdoor Facility ,Alexandra Gardens,-37.8206051404251,144.971796067365
155,Leisure/Recreation,Informal Outdoor Facility ,North Melbourne Recreation Reserve,-37.7988345257153,144.941452061463
156,Leisure/Recreation,Informal Outdoor Facility ,Princes Park,-37.7870161727156,144.961115214367
157,Community Use,Public Buildings,Shrine of Remembrance,-37.8302080020387,144.973441913623
158,Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,-37.7976589943217,144.968750113566
